Data,MSE for different groups,Method
Compas_Data,"[[0.22125751595144436, 0.2284667685158571, 0.39283699477792805, 0.26213024853919104, 0.03580468854834607, 0.23127420395524836], [0.21028347115662926, 0.22036587164041693, 0.27604606217235844, 0.2554874554463961, 0.03887625450799946, 0.22162814615267298], [0.2094114727316094, 0.21657977899243686, 0.28462962829082616, 0.2319568326056992, 0.04892862611374199, 0.20680692119209856], [0.21010547206157545, 0.2155744700601327, 0.25844645737002875, 0.23238758955869573, 0.06075439735823511, 0.20652982601164338], [0.2435708084511793, 0.3120562325907625, 0.53125, 0.2936119304485133, 0.0225, 0.24178487475245922], [0.23087229551361071, 0.2298732348445622, 0.3457864099170634, 0.28820527799642953, 0.0225, 0.23068691772916963], [0.20844654598728027, 0.21337642440438778, 0.15296477435556963, 0.23620703722152242, 0.03665088804968461, 0.2083958593282325], [0.2478631675416159, 0.24779301771922185, 0.24543810420949647, 0.24851237790888947, 0.24262484174703547, 0.2473283451550829]]",original
Compas_Data,"[0.2295453017182567, 0.2508459058110128, 0.39283699477792805, 0.2920998956818769, 0.0225, 0.23789883906065382]",mode
Compas_Data,"[0.21751627777860522, 0.2291756795819337, 0.16143138180745625, 0.250152378996978, 0.07720354959689812, 0.23091274316031923]",randomized
Compas_Data,"[0.21028347115662926, 0.22036587164041693, 0.27604606217235844, 0.2554874554463961, 0.03887625450799946, 0.22162814615267298]",random_selection
Compas_Data,"[0.2094114727316094, 0.21657977899243686, 0.28462962829082616, 0.2319568326056992, 0.04892862611374199, 0.20680692119209856]",reconcile
Adult_Data,"[[0.13645115970521543, 0.1374981970365147, 0.07472797171299866, 0.07408203767975825, 0.1361334309548058], [0.10806236072907323, 0.12731976278754417, 0.08058926229542206, 0.0708066549917011, 0.12275955065563851], [0.10100895640207319, 0.11796962396092538, 0.0757309409650607, 0.07072144365731234, 0.12833154683842998], [0.1008757723090023, 0.11785711554554587, 0.07559306284520449, 0.0701681745837505, 0.12774714942646143], [0.16879999999999998, 0.14382751247327158, 0.09923076923076923, 0.07661129568106313, 0.16609137055837567], [0.20666666666666667, 0.16128138116733984, 0.11538461538461539, 0.08637873754152824, 0.1889452904681331], [0.08802607680822723, 0.13208121635044856, 0.0877720656400113, 0.08746832218876477, 0.16321664659405785], [0.10718465447304683, 0.12102575814235254, 0.07070411447813633, 0.06960008847691494, 0.14302084669503345], [0.23639069493827197, 0.2374886392765631, 0.2293220094445294, 0.23262028667995147, 0.23772848961721932]]",original
Adult_Data,"[0.16015882722222222, 0.1430596471700741, 0.07986949786324786, 0.07351017279985084, 0.15003650822496936]",mode
Adult_Data,"[0.14867467692341416, 0.14492926993702532, 0.09931552785377609, 0.09619876164693965, 0.15211309883843363]",randomized
Adult_Data,"[0.10718465447304683, 0.12102575814235254, 0.07070411447813633, 0.06960008847691494, 0.14302084669503345]",random_selection
Adult_Data,"[0.11134676372171218, 0.12308737089520522, 0.06985091673613292, 0.07256339810935228, 0.1239912895215312]",reconcile
